Original,Nuevo
,IV3R1C2
,IV3R1C3
,IV3R2C1
,IV3R2C2
,IV3R2C3
,IV3R3C1
,IV3R3C2
,IV3R3C3
,IV3R4C1
,IV3R4C2
,IV3R4C3
,IV3R5C1
,IV3R5C2
,IV3R5C3
,IV3R6C1
,IV3R6C2
,IV3R6C3
,IV3R7C1
,IV3R7C2
,IV3R7C3
,IV3R8C1
,IV3R8C2
,IV3R8C3
,IV3R9C1
,IV3R9C2
,IV3R9C3
,IV3R10C1
,IV3R10C2
,IV3R10C3
,IV3R11C1
,IV3R11C2
,IV3R11C3
,IV4R1C1
,IV4R1C2
,IV4R1C3
IV4R1C1,IV4R1C1PIII
IV4R1C2,IV4R1C2PIII
IV4R1C3,IV4R1C3PIII
IV4R1C4,IV4R1C4PIII
,IV3R1C5PII
IV4R1C5,IV4R1C5PIII
IV4R1C6,IV4R1C6PIII
IV4R1C7,IV4R1C7PIII
IV4R2C1,IV4R2C1PIII
IV4R2C2,IV4R2C2PIII
IV4R2C3,IV4R2C3PIII
IV4R2C4,IV4R2C4PIII
,IV3R2C5PII
IV4R2C5,IV4R2C5PIII
IV4R2C6,IV4R2C6PIII
IV4R2C7,IV4R2C7PIII
IV4R3C1,IV4R3C1PIII
IV4R3C2,IV4R3C2PIII
IV4R3C3,IV4R3C3PIII
IV4R3C4,IV4R3C4PIII
,IV3R3C5PII
IV4R3C5,IV4R3C5PIII
IV4R3C6,IV4R3C6PIII
IV4R3C7,IV4R3C7PIII
IV4R4C1,IV4R4C1PIII
IV4R4C2,IV4R4C2PIII
IV4R4C3,IV4R4C3PIII
IV4R4C4,IV4R4C4PIII
,IV3R4C5PII
IV4R4C5,IV4R4C5PIII
IV4R4C6,IV4R4C6PIII
IV4R4C7,IV4R4C7PIII
IV4R5C1,IV4R5C1PIII
IV4R5C2,IV4R5C2PIII
IV4R5C3,IV4R5C3PIII
IV4R5C4,IV4R5C4PIII
,IV3R5C5PII
IV4R5C5,IV4R5C5PIII
IV4R5C6,IV4R5C6PIII
IV4R5C7,IV4R5C7PIII
IV4R6C1,IV4R6C1PIII
IV4R6C2,IV4R6C2PIII
IV4R6C3,IV4R6C3PIII
IV4R6C4,IV4R6C4PIII
,IV3R6C5PII
IV4R6C5,IV4R6C5PIII
IV4R6C6,IV4R6C6PIII
IV4R6C7,IV4R6C7PIII
IV4R7C1,IV4R7C1PIII
IV4R7C2,IV4R7C2PIII
