Original,Nuevo
,nordemp
CIIU3,CIIU4
,TIPOLOGIA
,I1R1C1N
,I1R1C2N
,I1R2C1N
,I1R2C2N
,I1R3C1N
,I1R3C2N
,I1R4C2N
,I1R1C1M
,I1R1C2M
,I1R2C1M
,I1R2C2M
,I1R3C1M
,I1R3C2M
,I1R4C2M
,I1R4C1
,I1R4C2
,I1R5C1
,I1R5C2
,I1R6C1
,I1R6C2
,I2R1C1
,I2R2C1
,I2R3C1
,I2R4C1
,I2R5C1
,I2R6C1
,I2R7C1
,I2R8C1
,I2R9C1
,I2R10C1
,I2R11C1
,I2R12C1
I2R10C1,I2R13C1
I2R11C1,I2R14C1
,I2R15C1
,I3R1C1
,I3R1C2
I3R1C1,I3R2C1
I3R1C2,I3R2C2
,I4R1C1
,I4R1C2
,I4R2C1
,I4R2C2
,I4R3C1
,I4R3C2
,I4R4C1
,I4R4C2
,I4R5C1
,I4R5C2
,I5R1C1
,I6R1C1
,I7R1C1
,I8R1C1
,I8R2C1
,I9R1C1
,I9R2C1
I8R1C1,I10R1C1
I8R2C1,I10R2C1
I8R3C1,I10R3C1
I8R4C1,I10R4C1
I8R5C1,I10R5C1
I8R6C1,I10R6C1
,I7R7C1
I8R7C1,I10R7C1
I8R8C1,I10R8C1
I8R9C1,I10R9C1
I8R10C1,I10R10C1
I8R11C1,I10R11C1
I8R12C1,I10R12C1
I8R13C1,I10R13C1
I8R14C1,I10R14C1
,II1R1C1
,II1R1C2
,II1R2C1
,II1R2C2
,II1R3C1
,II1R3C2
,II1R4C1
,II1R4C2
,II1R5C1
,II1R5C2
,II1R6C1
,II1R6C2
,II1R7C1
,II1R7C2
,II1R8C1
,II1R8C2
,II1R9C1
,II1R9C2
,II1R10C1
,II1R10C2
,II2R1C1
,II3R1C1
,II3R1C2
,III1R1C1
,III1R1C2
,III1R2C1
,III1R2C2
,III1R3C1
,III1R3C2
,III1R4C1
,III1R4C2
,III1R4C3
,III1R4C4
,III1R5C1
,III1R5C2
,III1R5C3
,III1R5C4
,III1R6C1
,III1R6C2
,III1R6C3
,III1R6C4
,III1R7C1
,III1R7C2
,III1R7C3
,III1R7C4
,III1R8C1
,III1R8C2
,III2R1C1PIII
,III2R1C2PIII
,III2R1C1
,III2R1C2
,III2R2C1
,III2R2C2
,III2R3C1PIII
,III2R3C2PIII
III2R3C1,III2R3C1PIV
III2R3C2,III2R3C2PIV
,III2R4C1PIII
,III2R4C2PIII
III2R4C1,III2R4C1PIV
III2R4C2,III2R4C2PIV
,III2R5C1PIII
,III2R5C2PIII
,III2R3C1
,III2R3C2
,III2R4C1
,III2R4C2
,III2R5C1
,III2R5C2
,III2R6C1
,III2R6C2
III2R7C1,III2R7C1PIV
III2R7C2,III2R7C2PIV
,III2R7C1
,III2R7C2
III2R8C1PIII,III2R8C1
III2R8C2PIII,III2R8C2
III2R8C1,III2R8C1PIV
III2R8C2,III2R8C2PIV
,III2R9C1
,III2R9C2
III2R9C1,III2R10C1
III2R9C2,III2R10C2
,III3R1C1
,III4R1C1
,III4R2C1
,III4R3C1
,III4R4C1
,III4R5C1
,III4R6C1
,III4R1C1PIII
,III5R1C1
,III6R1C1
,III6R1C2
,III6R2C1
,III6R2C2
,III6R3C1
,III6R3C2
,III6R4C1
,III6R4C2
,III6R5C1
,III6R5C2
,III6R6C1
,III6R6C2
,III6R7C1
,III6R7C2
III6R7C1,III6R8C1
III6R7C2,III6R8C2
,IV1R1C1
,IV1R1C2
,IV1R1C3
,IV1R1C4
,IV1R2C1
,IV1R2C2
,IV1R2C3
,IV1R2C4
,IV1R3C1
,IV1R3C2
,IV1R3C3
,IV1R3C4
,IV1R4C1
,IV1R4C2
,IV1R4C3
,IV1R4C4
,IV1R5C1
,IV1R5C2
,IV1R5C3
,IV1R5C4
,IV1R6C1
,IV1R6C2
,IV1R6C3
,IV1R6C4
,IV1R7C1
,IV1R7C2
,IV1R7C3
,IV1R7C4
,IV1R8C1
,IV1R8C2
,IV1R8C3
,IV1R8C4
,IV1R9C1
,IV1R9C2
,IV1R9C3
,IV1R9C4
,IV1R10C1
,IV1R10C2
,IV1R10C3
,IV1R10C4
,IV1R11C1
,IV1R11C2
,IV1R11C3
,IV1R11C4
IV7R1C1,IV2R1C1
IV7R1C2,IV2R1C2
IV7R2C1,IV2R2C1
IV7R2C2,IV2R2C2
IV7R3C1,IV2R3C1
IV7R3C2,IV2R3C2
IV7R4C1,IV2R4C1
IV7R4C2,IV2R4C2
IV7R5C1,IV2R5C1
IV7R5C2,IV2R5C2
IV7R6C1,IV2R6C1
IV7R6C2,IV2R6C2
IV7R7C1,IV2R7C1
IV7R7C2,IV2R7C2
IV7R8C1,IV2R8C1
IV7R8C2,IV2R8C2
IV7R9C1,IV2R9C1
IV7R9C2,IV2R9C2
IV7R10C1,IV2R10C1
IV7R10C2,IV2R10C2
IV7R11C1,IV2R11C1
IV7R11C2,IV2R11C2
IV7R1C3,IV2R12C1
IV7R1C4,IV2R12C2
IV7R2C3,IV2R13C1
IV7R2C4,IV2R13C2
IV7R3C3,IV2R14C1
IV7R3C4,IV2R14C2
IV7R4C3,IV2R15C1
IV7R4C4,IV2R15C2
IV7R5C3,IV2R16C1
IV7R5C4,IV2R16C2
IV7R6C3,IV2R17C1
IV7R6C4,IV2R17C2
IV7R7C3,IV2R18C1
IV7R7C4,IV2R18C2
IV7R8C3,IV2R19C1
IV7R8C4,IV2R19C2
IV7R9C3,IV2R20C1
IV7R9C4,IV2R20C2
IV7R10C3,IV2R21C1
IV7R10C4,IV2R21C2
IV7R11C3,IV2R22C1
IV7R11C4,IV2R22C2
IV7R1C5,IV2R23C1
IV7R1C6,IV2R23C2
